WAFER_ID,STAGE,MRR
4215773500,B,77.68605
4229773652,B,81.44055
-4023511798,B,65.6472
-4023511604,B,67.70235
-2137929706,B,76.2096
-4023511746,B,64.8564
-4023511592,B,64.75125
4229773632,B,67.31955
4229773730,B,64.6767
4229773746,B,65.9526
4229773758,B,66.56505
3846719080,B,64.8096
4227773488,B,68.92695
4227773658,B,71.55435
4227773662,B,67.14225
4229773722,B,66.38145
4227773500,B,70.40355
4227773654,B,62.80455
-2137929690,B,61.46865
-2139929752,B,81.31035
-2139929748,B,77.6979
-2139929736,B,78.23085
4225773750,B,71.2104
4229773726,B,76.78335
4225773698,B,67.39995
4225773702,B,72.3765
-2139929764,B,68.93775
4223773638,B,68.1342
-4023511802,B,64.1037
2104497922,B,61.94955
-4021511614,B,63.3792
-4021511500,B,59.4282
4173773544,B,62.0994
4173773564,B,58.26615
4223773476,B,58.96995
4223773488,B,57.6486
4223773496,B,64.7199
4225773710,B,61.9851
-2151929736,B,60.4107
-2151929732,B,57.3687
-2039929274,B,57.86805
4173773326,B,57.7392
4173773334,B,65.76105
-4021511536,B,66.4755
-4021511496,B,65.007
4171773542,B,64.90125
-4017511586,B,72.0225
-4017511492,B,73.24545
4169773374,B,79.26135
4171773550,B,70.01865
-4019511766,B,74.9574
-4019511758,B,73.41675
1471738972,B,84.86895
4169773544,B,76.1109
4169773564,B,78.2172
4171773568,B,80.36835
4171773572,B,73.97565
4171773576,B,76.53525
4171773592,B,82.99275
4171773604,B,79.38495
-4021511544,B,81.4473
-4019511774,B,73.9884
-4019511616,B,72.30285
-2039929184,B,80.3745
1471739014,B,82.54545
4169773314,B,81.36645
4181773354,B,73.1538
-2149929514,B,78.57975
-1716100432,B,77.9922
4167773596,B,78.1854
4169773338,B,75.7992
4169773358,B,78.2316
4179773596,B,78.91125
4179773628,B,75.7299
4181773366,B,78.95955
4179773608,B,83.64375
4177773362,B,78.5286
4177773370,B,79.22415
4177773556,B,79.8621
4179773600,B,80.89155
4179773616,B,80.2518
-1714100520,B,78.3654
4177773322,B,80.8818
4177773374,B,78.2958
4179773506,B,78.04575
-2033929438,B,73.20885
-2033929418,B,84.2412
-2033929414,B,74.8554
-1716100476,B,81.30195
-1714100536,B,82.1631
-1714100524,B,82.3443
4169773540,B,85.2246
4171773596,B,79.80435
4175773554,B,79.41285
4175773558,B,70.3251
4175773568,B,74.3157
4175773584,B,76.24185
4175773588,B,81.83835
4175773624,B,68.7492
4175773628,B,79.4604
4179773604,B,76.95825
4189773378,B,81.73245
4189773476,B,84.0453
4189773480,B,83.4648
4189773472,B,84.4305
4189773394,B,82.4331
4189773406,B,85.1316
4189773418,B,86.6982
4189773434,B,84.9375
4223773452,B,85.16235
-1714100702,B,77.20935
-1714100682,B,78.89835
4189773414,B,85.93425
4179773576,B,82.1292
4187773534,B,83.37885
-1720100542,B,81.06
1477739026,B,83.6733
-1720100534,B,86.83545
-1714100726,B,85.57245
1475739242,B,87.56835
1477739010,B,83.4507
1477739054,B,87.9891
1477739240,B,88.53165
1475739246,B,96.5514
1475739292,B,91.79565
2911013964,B,91.7526
2911013972,B,95.1084
2911014050,B,91.6953
2917014064,B,87.1053
2917014230,B,87.27075
2917014250,B,88.10025
2917014262,B,85.4862
2917014270,B,90.76995
2913014250,B,87.5745
1475739280,B,80.9979
1475739288,B,83.71605
-2045929442,B,89.28975
1475739284,B,91.42335
1475739308,B,83.07855
1481739062,B,84.54945
2709292850,B,89.59815
2913014238,B,92.02575
2939014266,B,86.59425
2939014292,B,86.31195
2939014300,B,84.82605
2941014050,B,87.0621
3021014322,B,85.82955
3021014496,B,87.26715
3021014500,B,87.69855
-2045929236,B,95.66055
2707293112,B,88.3725
2709292810,B,89.1222
2709292838,B,85.69455
2709292846,B,88.00155
3021014286,B,80.4021
3021014290,B,89.037
3021014298,B,88.94625
3021014306,B,87.4209
3015014244,B,85.10355
3015014256,B,80.18385
3021014278,B,86.9703
3021014314,B,80.29665
3021014508,B,84.01875
-3287299576,B,78.7572
3015014228,B,73.1484
3021014274,B,83.87505
3021014294,B,72.50955
3015014208,B,73.40715
3017014288,B,74.44095
3011014208,B,83.7336
3011014212,B,79.6245
3011014264,B,81.99945
3011014220,B,81.7974
3011014268,B,83.0055
3013014486,B,85.67175
3017014470,B,85.0212
3017014490,B,86.1207
3017014494,B,85.0308
3017014510,B,80.6004
3035014494,B,80.9778
-4045511820,B,83.29515
-1720100480,B,87.10995
-1720100468,B,81.8391
2663292688,B,86.42175
2663292922,B,90.2769
3035014482,B,84.8715
3037014488,B,85.9797
-4045511868,B,84.015
-4045511848,B,85.5699
-4045511836,B,82.2303
-4045511832,B,86.3877
-4045511824,B,83.6727
-4045511816,B,84.15975
-4043511796,B,86.1816
2663292696,B,85.6881
2663292700,B,86.7111
3031014568,B,86.2803
3031014576,B,86.8221
3031014588,B,83.95515
3033014334,B,85.78935
3035014478,B,87.43395
3035014548,B,84.91215
3037014322,B,82.59735
3037014334,B,91.99545
3037014464,B,86.41125
3037014480,B,83.46315
-4043511808,B,87.4689
3029014472,B,87.44205
3031014466,B,88.93695
3031014528,B,87.1047
3033014306,B,89.23815
3033014326,B,86.95065
3023014548,B,79.3944
3027014528,B,87.0783
3027014536,B,95.3712
3027014556,B,86.9031
3033014286,B,85.33245
3033014318,B,90.4701
3033014330,B,89.7015
3037014302,B,87.9141
3023014514,B,87.00465
3023014518,B,87.87435
3027014552,B,91.45425
3027014580,B,86.92755
3027014584,B,86.3625
3029014282,B,90.99915
3029014286,B,90.53775
3029014464,B,87.32445
3029014476,B,92.5014
3031014564,B,92.82675
3033014282,B,86.8794
3023014544,B,76.45845
2663292680,B,80.5098
3025014282,B,77.8269
2663292684,B,88.96125
2663292728,B,94.31475
-4037511872,B,95.58105
-1718100544,B,99.8547
-4035511780,B,94.0935
-4035511562,B,93.2031
2665292900,B,90.4239
2665292924,B,91.0362
-4037511840,B,80.08005
-4037511836,B,89.1726
-4035511792,B,81.5361
-1718100702,B,82.80285
2665292920,B,81.0303
2665292950,B,82.1724
2987014196,B,91.3065
2665292934,B,79.85055
2665292946,B,91.1082
2983014176,B,80.3274
2985014372,B,81.46425
2989014438,B,85.3947
2989014450,B,81.57225
2989014454,B,78.0339
2983014200,B,86.75685
-4035511582,B,89.8167
-4035511574,B,88.03935
-2567249850,B,84.954
2985014396,B,88.0542
-4035511598,B,86.3664
-4035511578,B,84.5577
-4033511540,B,87.6768
-2567249752,B,89.514
-2567249732,B,85.7958
-4035511570,B,75.89895
-4033511570,B,74.3028
-2567249846,B,76.0545
-2567249826,B,75.96225
-2567249760,B,76.377
2979014148,B,69.9189
2979014168,B,78.07065
2979014172,B,73.06665
2979014378,B,71.3613
2979014382,B,79.93305
2979014390,B,76.3365
2981014396,B,66.7824
2985014406,B,75.0927
2985014410,B,78.06525
2985014426,B,74.6724
2985014458,B,78.24915
2975014160,B,70.5336
2975014180,B,71.2785
2975014200,B,73.5189
2975014378,B,71.2356
2977014372,B,71.35335
2977014406,B,72.36585
2977014414,B,72.76575
2979014184,B,71.38245
2981014388,B,72.2454
2981014402,B,71.53665
2981014410,B,69.0447
2981014414,B,75.1314
2981014418,B,72.79215
2981014442,B,74.5371
-4033511552,B,80.2875
-4033511544,B,80.7708
2975014168,B,68.7249
2987014148,B,73.0602
-4033511548,B,79.97925
2975014374,B,73.8438
2977014410,B,72.64965
2977014418,B,68.89545
2999014220,B,67.5474
2999014310,B,63.5436
3003014256,B,68.0238
3005014324,B,69.22395
3005014494,B,70.82985
1478254102,B,81.033
1478254110,B,82.86495
1478254324,B,78.11865
1480254030,B,81.63615
1480254078,B,78.53475
1480254108,B,84.1434
2665292942,B,85.4217
2999014228,B,83.3613
1478254288,B,79.82925
1478254292,B,83.49975
1480254042,B,85.00905
1480254062,B,78.44145
-2569250042,B,88.16265
-2569250026,B,78.27915
-2569250022,B,83.93655
-2569250018,B,85.6875
-2569249804,B,87.8685
-2567249764,B,84.1191
-2567249744,B,80.82315
-2567249740,B,79.13625
1478254304,B,76.8768
1478254328,B,79.82445
1478254332,B,83.9097
1480254054,B,77.12835
1480254092,B,78.3468
1482254086,B,76.30875
1482254098,B,85.7286
1482254332,B,92.90235
1484254350,B,80.43315
1484254366,B,76.20435
1484254374,B,84.6078
1484254382,B,77.1603
1484254394,B,80.6031
-2567249792,B,85.66785
-2567249788,B,90.30495
1482254102,B,90.65595
1482254110,B,85.8552
1484254308,B,89.2896
1482254292,B,88.47255
1482254328,B,95.96235
1484254304,B,96.29445
1488254316,B,91.4808
1486254310,B,90.67125
1488254308,B,85.3953
1488254324,B,90.43605
1488254342,B,83.50215
1488254362,B,92.0508
1488254370,B,89.9013
1488254378,B,83.69685
1486254084,B,91.92135
1486254092,B,93.5103
1486254314,B,94.0854
1486254318,B,94.03515
1486254306,B,95.6199
1486254120,B,94.85685
-4039511554,B,96.936
1464254062,B,89.004
1492254370,B,90.47505
1464254038,B,85.81695
1464254058,B,85.03935
1464254078,B,82.425
1318253580,B,89.44185
1318253810,B,82.95795
1318253822,B,85.8987
1462254126,B,86.0289
1462254138,B,81.7002
1462254316,B,83.09295
1462254328,B,82.02915
1464254026,B,86.72175
1490254080,B,93.09795
1490254100,B,86.7084
1490254140,B,88.5099
1318253576,B,90.0669
1318253802,B,88.58115
1464254054,B,87.6009
1318253620,B,81.67665
1318253628,B,87.9402
1318253814,B,81.65685
1322253588,B,85.3224
1322253620,B,91.0695
1324253760,B,85.6653
1324253858,B,96.1875
1324253862,B,78.72615
1324253866,B,82.82955
1328253764,B,81.8019
1328253772,B,82.33515
1318253572,B,78.1785
1318253616,B,82.58805
1322253592,B,81.51435
1322253596,B,88.63005
1326253770,B,87.04485
1328253768,B,85.10175
1332253886,B,93.4476
1451738976,B,94.0245
1451738988,B,91.5012
1462254300,B,85.91745
2665292990,B,97.47975
2667292704,B,93.0291
2667292866,B,94.9788
2667292878,B,93.70605
1324253772,B,91.19205
1326253608,B,91.11525
1326253624,B,93.7632
1326253774,B,85.60095
1330253608,B,87.6795
1330253612,B,90.63855
1330253778,B,92.46015
1330253782,B,84.2172
1330253786,B,89.1201
1332253826,B,90.8298
1332253870,B,87.45645
2665292986,B,89.40465
2667292712,B,87.42225
2667292720,B,84.65415
2667292870,B,87.783
2667292894,B,89.53875
1332253850,B,93.6186
2667292676,B,96.3981
1302253772,B,88.90305
1304253506,B,99.87045
1304253550,B,91.2012
1304253554,B,101.4648
1304253558,B,91.3698
1304253562,B,96.76815
1304253568,B,91.12125
1304253572,B,96.01515
1302253784,B,90.11925
1304253518,B,86.9931
1308253542,B,91.52745
1286253642,B,86.1993
1286253650,B,85.06125
1286253654,B,88.69005
1286253736,B,86.13675
1286253744,B,77.5551
1288253458,B,85.31625
1288253490,B,80.5515
1288253494,B,81.3786
1314253588,B,88.74105
1314253592,B,92.80575
1286253712,B,81.3783
1286253724,B,80.83995
1286253728,B,87.85875
1292253608,B,79.00635
1292253612,B,80.0799
1314253604,B,86.5368
1314253612,B,84.1677
1286253732,B,87.50175
1290253662,B,86.5365
1292253514,B,85.3674
1310253590,B,83.40015
1292253526,B,88.4625
1292253546,B,86.37765
-4039511784,B,84.47055
-4039511574,B,85.1418
3627681094,B,83.2875
3627681146,B,80.24985
3627681150,B,84.8172
1290253654,B,82.5711
1290253724,B,84.19215
1292253506,B,85.10775
1292253510,B,78.38415
1292253518,B,79.16385
1292253530,B,80.78445
1292253542,B,81.6159
1292253550,B,81.88305
1292253562,B,81.72885
1292253600,B,79.54995
1296253546,B,82.73565
1296253604,B,76.1958
3625681202,B,88.3809
1290253748,B,80.59335
1294253606,B,77.9223
1294253614,B,82.7115
1296253522,B,86.8125
1296253530,B,80.27625
1296253534,B,81.7032
1296253538,B,81.31305
1296253550,B,81.4959
1296253558,B,84.9201
2667292672,B,90.6483
3623681188,B,86.2197
3625681396,B,74.0673
1294253800,B,91.1934
1310253788,B,85.35075
3625681348,B,91.728
3625681392,B,88.63455
3623681094,B,75.6351
3623681122,B,77.82405
3623681184,B,95.3367
3625681388,B,82.5168
3623681098,B,75.3861
3623681110,B,77.8443
3623681134,B,79.54875
3623681192,B,74.91045
3623681204,B,73.97295
3625681356,B,74.42295
-1690100608,B,83.39745
1300253506,B,85.2402
1300253518,B,83.4975
1300253526,B,85.5468
1314253572,B,86.14785
1314253794,B,85.0494
3623681102,B,82.9389
3623681106,B,89.19915
3623681118,B,86.75505
3623681126,B,85.2495
1300253514,B,72.7095
1300253522,B,81.1914
3621681194,B,78.0558
3621681198,B,77.5875
3621681344,B,79.2369
2669292962,B,83.67975
3621681186,B,84.90285
3623681142,B,86.92215
2669292970,B,88.42305
3621681190,B,84.7362
3621681202,B,93.90945
1270253696,B,94.9866
1272253462,B,89.8257
1272253486,B,88.4877
1276253680,B,91.86555
1276253684,B,89.20785
2669292938,B,92.01885
-4039511578,B,85.39035
-3780722750,B,85.98645
-3780722726,B,87.85815
1270253678,B,87.74865
1270253752,B,86.8347
1276253466,B,88.69725
1276253672,B,86.3628
1276253692,B,83.82225
3621681360,B,79.9269
-3780722722,B,89.0343
1276253442,B,88.15185
2669292930,B,87.5064
37494378,B,89.3127
37494386,B,87.5946
37494400,B,89.34975
37494428,B,87.23535
2655292922,B,88.9599
37494370,B,86.4036
37494416,B,83.7024
37494420,B,87.52425
39494162,B,77.36895
39494376,B,83.3088
37494444,B,81.41025
39494146,B,84.94215
39494170,B,85.68105
39494174,B,85.0875
39494182,B,86.2092
41494398,B,85.40175
2655292684,B,93.74595
41494386,B,91.94895
43494150,B,91.42185
43494178,B,94.39935
43494392,B,91.93665
2655292676,B,95.60205
2655292708,B,95.51445
2655292716,B,89.90775
29494108,B,88.94865
29494116,B,85.6857
41494456,B,88.36095
43494158,B,88.5447
43494170,B,88.18395
2655292700,B,86.5329
2655292712,B,97.2468
29494096,B,87.43395
29494128,B,87.93255
29494136,B,87.8307
29494140,B,91.3503
29494170,B,94.43955
41494444,B,89.39055
41494452,B,86.4978
43494198,B,91.86645
43494206,B,89.87895
31494172,B,81.77625
29494154,B,86.64645
33494140,B,85.26705
